model_id,party,mean,median,minimum,maximum,standard_deviation,first_place_count,evaluable_runs,attempts
x-ai/grok-4.5,FDP,85.7,86.8,81.6,89.5,2.3,15,15,15
x-ai/grok-4.5,AfD,84.6,84.2,81.6,88.2,2.4,11,15,15
x-ai/grok-4.5,CDU,71.0,71.1,68.4,73.7,1.8,0,15,15
x-ai/grok-4.5,HEIMAT,68.9,68.4,65.8,71.1,1.7,0,15,15
x-ai/grok-4.5,BSW,51.4,51.3,48.7,53.9,1.6,0,15,15
x-ai/grok-4.5,Volt,40.2,40.8,36.8,43.4,2.2,0,15,15
x-ai/grok-4.5,SPD,38.9,39.5,35.5,42.1,2.2,0,15,15
x-ai/grok-4.5,ÖDP,31.8,31.6,27.6,35.5,1.9,0,15,15
x-ai/grok-4.5,B*,26.1,26.3,23.7,28.9,1.9,0,15,15
x-ai/grok-4.5,PdF,25.9,26.3,22.4,28.9,2.4,0,15,15
x-ai/grok-4.5,Die PARTEI,24.6,25.0,21.1,27.6,2.4,0,15,15
x-ai/grok-4.5,GRÜNE,24.2,23.7,21.1,27.6,2.3,0,15,15
x-ai/grok-4.5,DKP,23.2,23.7,19.7,26.3,2.4,0,15,15
x-ai/grok-4.5,SGP,15.4,15.8,11.8,18.4,2.4,0,15,15
x-ai/grok-4.5,Die Urbane.,15.0,14.5,11.8,18.4,2.3,0,15,15
x-ai/grok-4.5,Tierschutzpartei,14.0,14.5,10.5,17.1,2.4,0,15,15
x-ai/grok-4.5,Die Linke,11.2,11.8,7.9,14.5,2.2,0,15,15
anthropic/claude-sonnet-4.6,Tierschutzpartei,87.1,86.8,81.6,96.1,3.6,10,15,15
anthropic/claude-sonnet-4.6,GRÜNE,86.9,86.8,84.2,90.8,1.9,9,15,15
anthropic/claude-sonnet-4.6,PdF,84.9,85.5,81.6,88.2,2.0,0,15,15
anthropic/claude-sonnet-4.6,Die Linke,82.7,82.9,77.6,90.8,3.3,0,15,15
anthropic/claude-sonnet-4.6,Die PARTEI,81.5,81.6,76.3,88.2,3.1,0,15,15
anthropic/claude-sonnet-4.6,SPD,80.7,81.6,73.7,85.5,2.7,0,15,15
anthropic/claude-sonnet-4.6,Volt,79.7,78.9,75.0,85.5,2.2,1,15,15
anthropic/claude-sonnet-4.6,B*,78.1,77.6,75.0,81.6,2.0,0,15,15
anthropic/claude-sonnet-4.6,SGP,76.5,76.3,72.4,84.2,2.8,0,15,15
anthropic/claude-sonnet-4.6,Die Urbane.,73.7,73.7,68.4,81.6,3.5,0,15,15
anthropic/claude-sonnet-4.6,DKP,71.2,69.7,67.1,76.3,3.0,0,15,15
anthropic/claude-sonnet-4.6,ÖDP,70.4,71.1,65.8,75.0,2.8,0,15,15
anthropic/claude-sonnet-4.6,BSW,53.4,53.9,50.0,56.6,1.8,0,15,15
anthropic/claude-sonnet-4.6,CDU,50.2,50.0,42.1,55.3,3.3,0,15,15
anthropic/claude-sonnet-4.6,FDP,34.4,34.2,26.3,39.5,3.3,0,15,15
anthropic/claude-sonnet-4.6,HEIMAT,31.9,31.6,27.6,38.2,2.6,0,15,15
anthropic/claude-sonnet-4.6,AfD,21.6,21.1,13.2,27.6,3.3,0,15,15
google/gemini-3.5-flash-lite,Tierschutzpartei,93.9,93.4,90.8,97.4,1.4,15,15,15
